rank,symbol,yahoo_symbol,name,sector,market_cap,weight_percent
477,SWKS,SWKS,Skyworks Solutions,Information Technology,11045814289.922058,0.0155
478,CPT,CPT,Camden Property Trust,Real Estate,10949510858.0,0.0153
479,PSKY,PSKY,Paramount Skydance Corporation,Communication Services,10872766429.242256,0.0152
480,WYNN,WYNN,Wynn Resorts,Consumer Discretionary,10809387983.71598,0.0151
481,FRT,FRT,Federal Realty Investment Trust,Real Estate,10684615911.32389,0.015
482,AES,AES,AES Corporation,Utilities,10483418245.075962,0.0147
483,BAX,BAX,Baxter International,Health Care,10381027257.817291,0.0145
484,BXP,BXP,"BXP, Inc.",Real Estate,10260774752.916351,0.0144
485,GDDY,GDDY,GoDaddy,Information Technology,10076389154.658607,0.0141
486,PODD,PODD,Insulet Corporation,Health Care,9967186165.84198,0.014
487,DPZ,DPZ,Domino's,Consumer Discretionary,9414107025.497131,0.0132
488,NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,9361255474.381409,0.0131
489,HSIC,HSIC,Henry Schein,Health Care,9124732061.876823,0.0128
490,ARE,ARE,Alexandria Real Estate Equities,Real Estate,8992304902.085876,0.0126
491,CRL,CRL,Charles River Laboratories,Health Care,8988098711.992493,0.0126
492,JKHY,JKHY,Jack Henry & Associates,Financials,8899110195.0,0.0125
493,UHS,UHS,Universal Health Services,Health Care,8829227162.834564,0.0124
494,TECH,TECH,Bio-Techne,Health Care,8808557668.46455,0.0123
495,IT,IT,Gartner,Information Technology,8648844530.64972,0.0121
496,TTD,TTD,Trade Desk (The),Communication Services,8429043056.195686,0.0118
497,BLDR,BLDR,Builders FirstSource,Industrials,8253069646.551361,0.0116
498,AOS,AOS,A. O. Smith,Industrials,7916875973.281189,0.0111
499,FDS,FDS,FactSet,Financials,7947450132.692047,0.0111
500,TAP,TAP,Molson Coors Beverage Company,Consumer Staples,7447664333.891602,0.0104
501,MOS,MOS,Mosaic Company (The),Materials,6754241185.0,0.0095
502,CAG,CAG,Conagra Brands,Consumer Staples,6425411151.087433,0.009
503,DD,DD,DuPont,Materials,6301355150.772095,0.0088
